first_reading	second_reading	third_reading
	2022-10-02T14:52Z;84:36;00:26	2022-10-02T16:20Z;16:45;00:05
	2022-10-02T14:52Z;85:05;00:29	2022-10-02T16:20Z;16:51;00:05
	2022-10-02T14:53Z;85:37;00:31	2022-10-02T16:20Z;16:56;00:05
	2022-10-02T14:54Z;86:13;00:36	2022-10-02T16:20Z;17:02;00:05
	2022-10-02T14:54Z;86:47;00:33	2022-10-02T16:20Z;17:07;00:05
	2022-10-02T14:55Z;87:15;00:28	2022-10-02T16:20Z;17:13;00:05
	2022-10-02T14:55Z;87:43;00:28	2022-10-02T16:20Z;17:18;00:05
	2022-10-02T14:56Z;88:13;00:29	2022-10-02T16:20Z;17:23;00:05
	2022-10-02T14:56Z;88:41;00:28	2022-10-02T16:20Z;17:29;00:05
	2022-10-02T14:57Z;89:07;00:25	2022-10-02T16:20Z;17:34;00:05
	2022-10-02T14:57Z;89:34;00:27	2022-10-02T16:20Z;17:40;00:05
	2022-10-02T14:57Z;90:02;00:28	2022-10-02T16:21Z;17:45;00:05
	2022-10-02T14:58Z;90:31;00:29	2022-10-02T16:21Z;17:51;00:05
	2022-10-02T14:58Z;91:01;00:29	2022-10-02T16:21Z;17:57;00:06
	2022-10-02T14:59Z;91:28;00:26	2022-10-02T16:21Z;18:03;00:05
	2022-10-02T14:59Z;91:56;00:28	2022-10-02T16:21Z;18:08;00:05
	2022-10-02T15:00Z;92:25;00:29	2022-10-02T16:21Z;18:14;00:05
	2022-10-02T15:00Z;92:53;00:28	2022-10-02T16:21Z;18:19;00:05
	2022-10-02T15:01Z;93:21;00:27	2022-10-02T16:21Z;18:24;00:05
	2022-10-02T15:01Z;93:51;00:30	2022-10-02T16:21Z;18:30;00:05
	2022-10-02T15:02Z;94:21;00:30	2022-10-02T16:21Z;18:35;00:05
	2022-10-02T15:02Z;94:51;00:29	2022-10-02T16:21Z;18:41;00:05
	2022-10-02T15:03Z;95:20;00:29	2022-10-02T16:22Z;18:46;00:05
	2022-10-02T15:03Z;95:50;00:30	2022-10-02T16:22Z;18:51;00:05
	2022-10-02T15:04Z;96:22;00:32	2022-10-02T16:22Z;18:57;00:05
	2022-10-02T15:04Z;96:51;00:28	2022-10-02T16:22Z;19:03;00:06
	2022-10-02T15:05Z;97:19;00:27	2022-10-02T16:22Z;19:09;00:05
	2022-10-02T15:05Z;97:49;00:30	2022-10-02T16:22Z;19:14;00:05
	2022-10-02T15:06Z;98:21;00:32	2022-10-02T16:22Z;19:20;00:05
	2022-10-02T15:06Z;98:55;00:33	2022-10-02T16:22Z;19:25;00:05
	2022-10-02T15:07Z;99:27;00:32	2022-10-02T16:22Z;19:30;00:05
	2022-10-02T15:07Z;99:57;00:29	2022-10-02T16:22Z;19:36;00:05
	2022-10-02T15:08Z;100:28;00:30	2022-10-02T16:22Z;19:41;00:05
	2022-10-02T15:08Z;100:58;00:30	2022-10-02T16:23Z;19:47;00:05
